Book,Chapter,Verse,Text
,1,1,Hituwey nitudok hi aammod Jesu Kristo an holag David an holag bon Abraham.
,1,2,Nahlag hi Abraham ot wadah Isaac. Nahlag hi Isaac ot wadah Jacob. Nahlag hi Jacob ot wadah Judah ya nadan udum an tutulang na.
,1,3,Nahlag hi Judah ot wada da Peres ke Serah an hi Tamar di inada. Nahlag hi Peres ot wadah Hesron. Nahlag hi Hesron ot wadah Ram.
,1,4,Nahlag hi Ram ot wadah Amminadab. Nahlag hi Amminadab ot wadah Nashon. Nahlag hi Nashon ot wadah Salmon.
,1,5,Nahlag hi Salmon an inayanah Rahab ot wadah Boaz. Nahlag hi Boaz an inayanah Ruth ot wadah Obed. Nahlag hi Obed ot wadah Jesse.
,1,6,Nahlag hi Jesse ot wadah David an patul.Nahlag hi David an inayanah Bathsheba an inayan ni-an Uriah ot wadah Solomon.
,1,7,Nahlag hi Solomon ot wadah Rehoboam. Nahlag hi Rehoboam ot wadah Abijah. Nahlag hi Abijah ot wadah Asa.
,1,8,Nahlag hi Asa ot wadah Jehoshaphat. Nahlag hi Jehoshaphat ot wadah Jehoram. Nahlag hi Jehoram ot wadah Ussia.
,1,9,Nahlag hi Ussia ot wadah Jotham. Nahlag hi Jotham ot wadah Ahas. Nahlag hi Ahas ot wadah Hesekiah.
,1,10,Nahlag hi Hesekiah ot wadah Manasseh. Nahlag hi Manasseh ot wadah Amon an aman Josiah.
,1,11,Nahlag hi Josiah ot wadah Jeconiah ya nadan udum an tutulang na. Kediyen katagun Jeconiah di nangapputan nadan iBabilon hanadah iIsrael ot ieda didad Babilon.
,1,12,Ta hidid Babilon ya nahlag hi Jeconiah ot wadah Sealtiel. Nahlag hi Sealtiel ot wadah Serubbabel.
,1,13,Nahlag hi Serubbabel ot wadah Abiud an aman Eliakim. Nahlag hi Eliakim ot wadah Asor.
,1,14,Nahlag hi Asor ot wadah Sadok. Nahlag hi Sadok ot wadah Akim. Nahlag hi Akim ot wadah Eliud.
,1,15,Nahlag hi Eliud ot wadah Eleasar. Nahlag hi Eleasar ot wadah Mathan an aman Jacob.
,1,16,Nahlag hi Jacob ot wadah Joseph an inayan Maria an inan Jesus an hi Kristo.
,1,17,Mipalpun Abraham ta ingganan David ya himpulut opat di nahlagan da. Ya mipalpun David ta inggana handih nangiayan dan didad Babilon ya himpulut opat damdama. Ya mipalpu handih kawada dad Babilon ta inggana handi nitungawan Kristo ya himpulu bot opat.
,1,18,"Athituy nitungawan Jesu Kristo. Hi Maria ya nitbin Joseph, mu uggeda ni-an nun-ine yaden nawadaan hi Maria gapuh ongal an kabaelan di Espiritun Apu Dios."
,1,19,Hi Joseph ya pangalina on inlaglag-an Maria nan wadah putuna. Hiya ya paka-un-unudonay Tugun dan Judyu kinali ninomnom nan adina ituluy an iine. Mu gapu te hiya ya maphod di pangi-ena ya ninomnom nan adina ipainilay adida puntuluyan ta adi mibabain hi Maria.
,1,20,"Handih nomnomnomon Joseph hituwe ya numpatibon hiya an anghel hi in-inop nan kananan hiyay ""Joseph an holag David, adika umagol an mangiinen Maria te nawadaan gapuh kabaelan di Espiritun Apu Dios."
,1,21,"Lalakih diyen itungona ya ahiyu ngadanan hi Jesus te hiyay mangihwang hi taguh liwat da."""
,1,22,"Hituwey immannungan nan kalin Apu Dios an kinalin din profetas an kananay 23""Ahi maimbabaleyan nan babain maid di inayana ta mun-imbabaleh lalaki ya ahida ngadanan hi Emmanuel an hay kibalinana ya wadah Apu Dios ke ditaku."""
,1,24,Inun-unud Joseph hidiyen kinalin nan anghel Apu Dios ot iine nah Maria.
,1,25,Mu uggeda nunhuyop inggana nuntungoh Maria. Intungo na nan lalaki ot ngadanan Joseph hi Jesus.
,2,1,Hay nitungawan Jesus ya ad Betlehem an bobled Judea ya hay patul kediye ya hi Herod. Indani ya wadaday immalid Jerusalem hi tatagun nalpuh nangappit hi timilan di algo. Dida ya impakainnila day mipanggep hi bittuwon.
,2,2,"Kanan da nadah tataguy ""Daan nan nitungon golang an ahi pumpatul di Judyu? Tinibo mi nan bittuwon nah appit di timilan di algo an hidiyey nangimatunan mih nitungowana ta hidiyey gapunan immali kamin mundayaw ke hiya."""
,2,3,Dingngol Herod ya nadan tatagud Jerusalem hidiyen kinali da ya mabulubulun da.
